PNeID,RA,DEC,Vrad,rmsVrad
NGC4374-190,186.25792,12.83008,1160,23
NGC4374-191,186.25792,12.82175,1290,23
NGC4374-192,186.25812,12.91356,717,23
NGC4374-193,186.25812,12.97608,1081,23
NGC4374-194,186.25829,12.86003,823,23
NGC4374-195,186.25883,12.87492,861,25
NGC4374-196,186.25883,12.88647,1021,23
NGC4374-197,186.25904,12.87622,832,23
NGC4374-198,186.25933,12.85078,1031,23
NGC4374-199,186.25942,12.96739,1096,23
NGC4374-200,186.25942,12.98717,1029,23
NGC4374-201,186.2595,12.86244,1516,23
NGC4374-202,186.25958,12.84439,1029,23
NGC4374-203,186.25962,12.90797,1215,23
NGC4374-204,186.26004,12.85014,899,23
NGC4374-205,186.26008,12.84664,1218,23
NGC4374-206,186.26012,12.89806,721,23
NGC4374-207,186.26021,12.94119,1034,23
NGC4374-208,186.26033,12.91633,539,23
NGC4374-209,186.26037,12.90258,1248,24
NGC4374-210,186.26046,12.87644,1029,22
NGC4374-211,186.26075,12.80697,1166,23
NGC4374-212,186.26079,12.89997,1183,23
NGC4374-213,186.26096,12.90258,1196,24
NGC4374-214,186.26096,12.87147,701,23
NGC4374-215,186.26162,12.89536,1257,23
NGC4374-216,186.26179,12.93147,834,23
NGC4374-217,186.26212,12.87281,1137,23
NGC4374-218,186.26271,12.86075,1062,23
NGC4374-219,186.26296,12.90669,1047,23
NGC4374-220,186.263,12.82044,1126,23
NGC4374-221,186.26354,12.867,1567,23
NGC4374-222,186.26358,12.91256,1467,23
NGC4374-223,186.26358,12.89769,962,23
NGC4374-224,186.26375,12.83864,960,23
NGC4374-225,186.26396,12.90436,1343,22
NGC4374-226,186.2645,12.90253,868,23
NGC4374-227,186.26458,12.83853,637,23
NGC4374-228,186.26496,12.86725,1110,23
NGC4374-229,186.26504,12.84956,1330,23
NGC4374-230,186.26567,12.89989,839,24
NGC4374-231,186.266,12.84692,485,23
NGC4374-232,186.266,12.89594,1111,24
NGC4374-233,186.26608,12.90939,1427,23
NGC4374-234,186.26633,12.92369,1120,23
NGC4374-235,186.2665,12.86519,1055,23
NGC4374-236,186.26696,12.91425,1015,23
NGC4374-237,186.26733,12.90253,1023,23
NGC4374-238,186.26858,12.89706,1377,23
NGC4374-239,186.26896,12.92278,548,23
NGC4374-240,186.26904,12.90617,1037,23
NGC4374-241,186.26987,12.90822,352,23
NGC4374-242,186.27004,12.95842,892,23
NGC4374-243,186.27012,12.89475,1136,23
NGC4374-244,186.27104,12.94419,1087,23
NGC4374-245,186.27121,12.84769,835,22
NGC4374-246,186.27129,12.88286,1284,23
NGC4374-247,186.27162,12.90389,1245,23
NGC4374-248,186.27179,12.85833,1152,23
NGC4374-249,186.27225,12.89403,1061,23
NGC4374-250,186.27267,12.89572,910,23
NGC4374-251,186.27283,12.90611,1170,23
NGC4374-252,186.27342,12.91689,1098,23
NGC4374-253,186.27375,12.89114,917,23
NGC4374-254,186.27379,12.89258,827,23
NGC4374-255,186.27417,12.91842,752,23
NGC4374-256,186.27417,12.84486,1373,23
NGC4374-257,186.27442,12.80672,871,23
NGC4374-258,186.27458,12.90128,968,29
NGC4374-259,186.27475,12.91939,700,23
NGC4374-260,186.27483,12.96703,1192,23
NGC4374-261,186.27504,12.90272,812,23
NGC4374-262,186.27529,12.81392,1499,23
NGC4374-263,186.27546,12.86111,960,23
NGC4374-264,186.27571,12.91314,533,23
NGC4374-265,186.27579,12.87514,1181,23
NGC4374-266,186.27583,12.90378,1093,26
NGC4374-267,186.27592,12.87367,1323,23
NGC4374-268,186.276,12.88231,1004,22
NGC4374-269,186.27604,12.87817,1163,23
NGC4374-270,186.27617,12.87164,738,23
